day,weekday,month,y,sta
2020/7/21,2,7,15,Sta101
2020/7/22,3,7,16,Sta101
2020/7/23,4,7,15,Sta101
2020/7/24,5,7,16,Sta101
2020/7/25,6,7,16,Sta101
2020/7/26,7,7,15,Sta101
2020/7/27,1,7,13,Sta101
2020/7/28,2,7,13,Sta101
2020/7/29,3,7,16,Sta101
2020/7/30,4,7,15,Sta101
2020/7/31,5,7,15,Sta101
2020/8/1,6,8,16,Sta101
2020/8/2,7,8,16,Sta101
2020/8/3,1,8,16,Sta101
2020/8/4,2,8,16,Sta101
2020/8/5,3,8,13,Sta101
2020/8/6,4,8,12,Sta101
2020/8/7,5,8,15,Sta101
2020/8/8,6,8,11,Sta101
2020/8/9,7,8,11,Sta101
2020/8/10,1,8,13,Sta101
2020/8/11,2,8,13,Sta101
2020/8/12,3,8,16,Sta101
2020/8/13,4,8,15,Sta101
2020/8/14,5,8,14,Sta101
2020/8/15,6,8,15,Sta101
2020/8/16,7,8,14,Sta101
2020/8/17,1,8,16,Sta101
2020/8/18,2,8,16,Sta101
2020/8/19,3,8,17,Sta101
2020/8/20,4,8,16,Sta101
2020/8/21,5,8,17,Sta101
2020/8/22,6,8,16,Sta101
2020/8/23,7,8,17,Sta101
2020/8/24,1,8,16,Sta101
2020/8/25,2,8,15,Sta101
2020/8/26,3,8,16,Sta101
2020/8/27,4,8,13,Sta101
2020/8/28,5,8,15,Sta101
2020/8/29,6,8,15,Sta101
2020/8/30,7,8,14,Sta101
2020/8/31,1,8,15,Sta101
2020/9/1,2,9,15,Sta101
2020/9/2,3,9,16,Sta101
2020/9/3,4,9,16,Sta101
2020/9/4,5,9,17,Sta101
2020/9/5,6,9,15,Sta101
2020/9/6,7,9,16,Sta101
2020/9/7,1,9,16,Sta101
2020/9/8,2,9,17,Sta101
2020/9/9,3,9,16,Sta101
2020/9/10,4,9,18,Sta101
2020/9/11,5,9,15,Sta101
2020/9/12,6,9,15,Sta101
2020/9/13,7,9,16,Sta101
2020/9/14,1,9,15,Sta101
2020/9/15,2,9,16,Sta101
2020/9/16,3,9,16,Sta101
2020/9/17,4,9,16,Sta101
2020/9/18,5,9,16,Sta101
2020/9/19,6,9,15,Sta101
2020/9/20,7,9,16,Sta101
2020/9/21,1,9,16,Sta101
2020/9/22,2,9,15,Sta101
2020/9/23,3,9,16,Sta101
2020/9/24,4,9,16,Sta101
2020/9/25,5,9,16,Sta101
2020/9/26,6,9,15,Sta101
2020/9/27,7,9,16,Sta101
2020/9/28,1,9,16,Sta101
2020/9/29,2,9,16,Sta101
2020/9/30,3,9,16,Sta101
2020/10/1,4,10,16,Sta101
2020/10/2,5,10,16,Sta101
2020/10/3,6,10,15,Sta101
2020/10/4,7,10,15,Sta101
2020/10/5,1,10,14,Sta101
2020/10/6,2,10,15,Sta101
2020/10/7,3,10,14,Sta101
2020/10/8,4,10,14,Sta101
2020/10/9,5,10,15,Sta101
2020/10/10,6,10,15,Sta101
2020/10/11,7,10,13,Sta101
2020/10/12,1,10,14,Sta101
2020/10/13,2,10,15,Sta101
2020/10/14,3,10,14,Sta101
2020/10/15,4,10,14,Sta101
2020/10/16,5,10,15,Sta101
2020/10/17,6,10,14,Sta101
2020/10/18,7,10,13,Sta101
2020/10/19,1,10,14,Sta101
2020/10/20,2,10,15,Sta101
2020/10/21,3,10,14,Sta101
2020/10/22,4,10,13,Sta101
2020/10/23,5,10,13,Sta101
2020/10/24,6,10,13,Sta101
2020/10/25,7,10,14,Sta101
2020/10/26,1,10,14,Sta101
2020/10/27,2,10,14,Sta101
2020/10/28,3,10,16,Sta101
2020/10/29,4,10,15,Sta101
2020/10/30,5,10,15,Sta101
2020/10/31,6,10,15,Sta101
2020/11/1,7,11,14,Sta101
2020/11/2,1,11,16,Sta101
2020/11/3,2,11,16,Sta101
2020/11/4,3,11,16,Sta101
2020/11/5,4,11,15,Sta101
2020/11/6,5,11,14,Sta101
2020/11/7,6,11,13,Sta101
2020/11/8,7,11,15,Sta101
2020/11/9,1,11,16,Sta101
2020/11/10,2,11,16,Sta101
2020/11/11,3,11,17,Sta101
2020/11/12,4,11,17,Sta101
2020/11/13,5,11,16,Sta101
2020/11/14,6,11,17,Sta101
2020/11/15,7,11,17,Sta101
2020/11/16,1,11,16,Sta101
2020/11/17,2,11,17,Sta101
2020/11/18,3,11,17,Sta101
2020/11/19,4,11,14,Sta101
2020/11/20,5,11,15,Sta101
2020/11/21,6,11,10,Sta101
2020/11/22,7,11,12,Sta101
2020/11/23,1,11,13,Sta101
2020/11/24,2,11,11,Sta101
2020/11/25,3,11,12,Sta101
2020/11/26,4,11,7,Sta101
2020/11/27,5,11,4,Sta101
2020/11/28,6,11,5,Sta101
2020/11/29,7,11,3,Sta101
2020/11/30,1,11,6,Sta101
2020/12/1,2,12,7,Sta101
2020/12/2,3,12,7,Sta101
2020/12/3,4,12,6,Sta101
2020/12/4,5,12,5,Sta101
2020/12/5,6,12,4,Sta101
2020/12/6,7,12,4,Sta101
2020/12/7,1,12,6,Sta101
2020/12/8,2,12,6,Sta101
2020/12/9,3,12,6,Sta101
2020/12/10,4,12,4,Sta101
2020/12/11,5,12,3,Sta101
2020/12/12,6,12,3,Sta101
2020/12/13,7,12,4,Sta101
2020/12/14,1,12,7,Sta101
2020/12/15,2,12,7,Sta101
2020/12/16,3,12,6,Sta101
2020/12/17,4,12,6,Sta101
2020/12/18,5,12,5,Sta101
2020/12/19,6,12,4,Sta101
2020/12/20,7,12,3,Sta101
2020/12/21,1,12,6,Sta101
2020/12/22,2,12,6,Sta101
2020/12/23,3,12,6,Sta101
2020/12/24,4,12,4,Sta101
2020/12/25,5,12,5,Sta101
2020/12/26,6,12,4,Sta101
2020/12/27,7,12,3,Sta101
2020/12/28,1,12,6,Sta101
2020/12/29,2,12,6,Sta101
2020/12/30,3,12,6,Sta101
2020/12/31,4,12,5,Sta101
2020/7/17,5,7,2,Sta102
2020/7/18,6,7,2,Sta102
2020/7/19,7,7,2,Sta102
2020/7/20,1,7,2,Sta102
2020/7/21,2,7,1,Sta102
2020/7/22,3,7,2,Sta102
2020/7/23,4,7,2,Sta102
2020/7/24,5,7,2,Sta102
2020/7/25,6,7,2,Sta102
2020/7/26,7,7,2,Sta102
2020/7/27,1,7,2,Sta102
2020/7/28,2,7,2,Sta102
2020/7/29,3,7,2,Sta102
2020/7/30,4,7,2,Sta102
2020/7/31,5,7,2,Sta102
2020/8/1,6,8,2,Sta102
2020/8/2,7,8,2,Sta102
2020/8/3,1,8,2,Sta102
2020/8/4,2,8,2,Sta102
2020/8/5,3,8,2,Sta102
2020/8/6,4,8,2,Sta102
2020/8/7,5,8,2,Sta102
2020/8/8,6,8,2,Sta102
2020/8/9,7,8,2,Sta102
2020/8/10,1,8,2,Sta102
2020/8/11,2,8,2,Sta102
2020/8/12,3,8,2,Sta102
2020/8/13,4,8,2,Sta102
2020/8/14,5,8,2,Sta102
2020/8/15,6,8,2,Sta102
2020/8/16,7,8,2,Sta102
2020/8/17,1,8,2,Sta102
2020/8/18,2,8,1,Sta102
2020/8/19,3,8,2,Sta102
2020/8/20,4,8,2,Sta102
2020/8/21,5,8,2,Sta102
2020/8/22,6,8,2,Sta102
2020/8/23,7,8,2,Sta102
2020/8/24,1,8,2,Sta102
2020/8/25,2,8,2,Sta102
2020/8/26,3,8,2,Sta102
2020/8/27,4,8,2,Sta102
2020/8/28,5,8,2,Sta102
2020/8/29,6,8,2,Sta102
2020/8/30,7,8,1,Sta102
2020/8/31,1,8,1,Sta102
2020/9/1,2,9,2,Sta102
2020/9/2,3,9,2,Sta102
2020/9/3,4,9,2,Sta102
2020/9/4,5,9,2,Sta102
2020/9/5,6,9,1,Sta102
2020/9/6,7,9,2,Sta102
2020/9/7,1,9,2,Sta102
2020/9/8,2,9,2,Sta102
2020/9/9,3,9,2,Sta102
2020/9/10,4,9,2,Sta102
2020/9/11,5,9,1,Sta102
2020/9/12,6,9,1,Sta102
2020/9/13,7,9,1,Sta102
2020/9/14,1,9,1,Sta102
2020/9/15,2,9,1,Sta102
2020/9/16,3,9,1,Sta102
2020/9/17,4,9,1,Sta102
2020/9/18,5,9,1,Sta102
2020/9/19,6,9,1,Sta102
2020/9/20,7,9,1,Sta102
2020/9/21,1,9,1,Sta102
2020/9/22,2,9,1,Sta102
2020/9/23,3,9,1,Sta102
2020/9/24,4,9,1,Sta102
2020/9/25,5,9,1,Sta102
2020/9/26,6,9,1,Sta102
2020/9/27,7,9,1,Sta102
2020/9/28,1,9,1,Sta102
2020/9/29,2,9,1,Sta102
2020/9/30,3,9,1,Sta102
2020/10/1,4,10,1,Sta102
2020/10/2,5,10,1,Sta102
2020/10/3,6,10,1,Sta102
2020/10/4,7,10,1,Sta102
2020/10/5,1,10,1,Sta102
2020/10/6,2,10,1,Sta102
2020/10/7,3,10,1,Sta102
2020/10/8,4,10,1,Sta102
2020/10/9,5,10,1,Sta102
2020/10/10,6,10,1,Sta102
2020/10/11,7,10,1,Sta102
2020/10/12,1,10,1,Sta102
2020/10/13,2,10,1,Sta102
2020/10/14,3,10,1,Sta102
2020/10/15,4,10,1,Sta102
2020/10/16,5,10,1,Sta102
2020/10/17,6,10,1,Sta102
2020/10/18,7,10,1,Sta102
2020/10/19,1,10,1,Sta102
2020/10/20,2,10,1,Sta102
2020/10/21,3,10,1,Sta102
2020/10/22,4,10,1,Sta102
2020/10/23,5,10,1,Sta102
2020/10/24,6,10,1,Sta102
2020/10/25,7,10,1,Sta102
2020/10/26,1,10,1,Sta102
2020/10/27,2,10,1,Sta102
2020/10/28,3,10,1,Sta102
2020/10/29,4,10,1,Sta102
2020/10/30,5,10,1,Sta102
2020/10/31,6,10,1,Sta102
2020/11/1,7,11,1,Sta102
2020/11/2,1,11,1,Sta102
2020/11/3,2,11,1,Sta102
2020/11/4,3,11,1,Sta102
2020/11/5,4,11,1,Sta102
2020/11/6,5,11,1,Sta102
2020/11/7,6,11,1,Sta102
2020/11/8,7,11,1,Sta102
2020/11/9,1,11,1,Sta102
2020/11/10,2,11,1,Sta102
2020/11/11,3,11,1,Sta102
2020/11/12,4,11,1,Sta102
2020/11/13,5,11,1,Sta102
2020/11/14,6,11,1,Sta102
2020/11/15,7,11,1,Sta102
2020/11/16,1,11,1,Sta102
2020/11/17,2,11,1,Sta102
2020/11/18,3,11,1,Sta102
2020/11/19,4,11,1,Sta102
2020/11/20,5,11,1,Sta102
2020/11/21,6,11,1,Sta102
2020/11/22,7,11,2,Sta102
2020/11/23,1,11,2,Sta102
2020/11/24,2,11,2,Sta102
2020/11/25,3,11,1,Sta102
2020/11/26,4,11,1,Sta102
2020/11/27,5,11,1,Sta102
2020/11/28,6,11,1,Sta102
2020/11/29,7,11,1,Sta102
2020/11/30,1,11,1,Sta102
2020/12/1,2,12,2,Sta102
2020/12/2,3,12,2,Sta102
2020/12/3,4,12,2,Sta102
2020/12/4,5,12,2,Sta102
2020/12/5,6,12,2,Sta102
2020/12/6,7,12,2,Sta102
2020/12/7,1,12,2,Sta102
2020/12/8,2,12,2,Sta102
2020/12/9,3,12,2,Sta102
2020/12/10,4,12,1,Sta102
2020/12/11,5,12,1,Sta102
2020/12/12,6,12,1,Sta102
2020/12/13,7,12,2,Sta102
2020/12/14,1,12,1,Sta102
2020/12/15,2,12,2,Sta102
2020/12/16,3,12,2,Sta102
2020/12/17,4,12,2,Sta102
2020/12/18,5,12,2,Sta102
2020/12/19,6,12,2,Sta102
2020/12/20,7,12,2,Sta102
2020/12/21,1,12,2,Sta102
2020/12/22,2,12,2,Sta102
2020/12/23,3,12,2,Sta102
2020/12/24,4,12,1,Sta102
2020/12/25,5,12,2,Sta102
2020/12/26,6,12,2,Sta102
2020/12/27,7,12,2,Sta102
2020/12/28,1,12,2,Sta102
2020/12/29,2,12,2,Sta102
2020/12/30,3,12,2,Sta102
2020/12/31,4,12,2,Sta102
2020/7/17,5,7,11,Sta103
2020/7/18,6,7,12,Sta103
2020/7/19,7,7,10,Sta103
2020/7/20,1,7,11,Sta103
2020/7/21,2,7,9,Sta103
2020/7/22,3,7,14,Sta103
2020/7/23,4,7,13,Sta103
2020/7/24,5,7,13,Sta103
2020/7/25,6,7,11,Sta103
2020/7/26,7,7,11,Sta103
2020/7/27,1,7,12,Sta103
2020/7/28,2,7,12,Sta103
2020/7/29,3,7,13,Sta103
2020/7/30,4,7,12,Sta103
2020/7/31,5,7,13,Sta103
2020/8/1,6,8,10,Sta103
2020/8/2,7,8,11,Sta103
2020/8/3,1,8,12,Sta103
2020/8/4,2,8,13,Sta103
2020/8/5,3,8,6,Sta103
2020/8/6,4,8,14,Sta103
2020/8/7,5,8,14,Sta103
2020/8/8,6,8,12,Sta103
2020/8/9,7,8,11,Sta103
2020/8/10,1,8,12,Sta103
2020/8/11,2,8,12,Sta103
2020/8/12,3,8,13,Sta103
2020/8/13,4,8,6,Sta103
2020/8/14,5,8,6,Sta103
2020/8/15,6,8,5,Sta103
2020/8/16,7,8,4,Sta103
2020/8/17,1,8,10,Sta103
2020/8/18,2,8,3,Sta103
2020/8/19,3,8,10,Sta103
2020/8/20,4,8,11,Sta103
2020/8/21,5,8,13,Sta103
2020/8/22,6,8,12,Sta103
2020/8/23,7,8,11,Sta103
2020/8/24,1,8,12,Sta103
2020/8/25,2,8,12,Sta103
2020/8/26,3,8,13,Sta103
2020/8/27,4,8,13,Sta103
2020/8/28,5,8,13,Sta103
2020/8/29,6,8,12,Sta103
2020/8/30,7,8,8,Sta103
2020/8/31,1,8,8,Sta103
2020/9/1,2,9,11,Sta103
2020/9/2,3,9,13,Sta103
2020/9/3,4,9,14,Sta103
2020/9/4,5,9,13,Sta103
2020/9/5,6,9,8,Sta103
2020/9/6,7,9,11,Sta103
2020/9/7,1,9,12,Sta103
2020/9/8,2,9,12,Sta103
2020/9/9,3,9,12,Sta103
2020/9/10,4,9,13,Sta103
2020/9/11,5,9,8,Sta103
2020/9/12,6,9,8,Sta103
2020/9/13,7,9,8,Sta103
2020/9/14,1,9,8,Sta103
2020/9/15,2,9,8,Sta103
2020/9/16,3,9,8,Sta103
2020/9/17,4,9,8,Sta103
2020/9/18,5,9,9,Sta103
2020/9/19,6,9,8,Sta103
2020/9/20,7,9,8,Sta103
2020/9/21,1,9,8,Sta103
2020/9/22,2,9,8,Sta103
2020/9/23,3,9,8,Sta103
2020/9/24,4,9,8,Sta103
2020/9/25,5,9,9,Sta103
2020/9/26,6,9,8,Sta103
2020/9/27,7,9,8,Sta103
2020/9/28,1,9,8,Sta103
2020/9/29,2,9,8,Sta103
2020/9/30,3,9,8,Sta103
2020/10/1,4,10,4,Sta103
2020/10/2,5,10,4,Sta103
2020/10/3,6,10,7,Sta103
2020/10/4,7,10,7,Sta103
2020/10/5,1,10,5,Sta103
2020/10/6,2,10,2,Sta103
2020/10/7,3,10,4,Sta103
2020/10/8,4,10,3,Sta103
2020/10/9,5,10,3,Sta103
2020/10/10,6,10,4,Sta103
2020/10/11,7,10,4,Sta103
2020/10/12,1,10,4,Sta103
2020/10/13,2,10,3,Sta103
2020/10/14,3,10,4,Sta103
2020/10/15,4,10,4,Sta103
2020/10/16,5,10,4,Sta103
2020/10/17,6,10,3,Sta103
2020/10/18,7,10,3,Sta103
2020/10/19,1,10,4,Sta103
2020/10/20,2,10,3,Sta103
2020/10/21,3,10,5,Sta103
2020/10/22,4,10,5,Sta103
2020/10/23,5,10,5,Sta103
2020/10/24,6,10,7,Sta103
2020/10/25,7,10,6,Sta103
2020/10/26,1,10,7,Sta103
2020/10/27,2,10,6,Sta103
2020/10/28,3,10,5,Sta103
2020/10/29,4,10,7,Sta103
2020/10/30,5,10,2,Sta103
2020/10/31,6,10,3,Sta103
2020/11/1,7,11,4,Sta103
2020/11/2,1,11,3,Sta103
2020/11/3,2,11,4,Sta103
2020/11/4,3,11,3,Sta103
2020/11/5,4,11,4,Sta103
2020/11/6,5,11,5,Sta103
2020/11/7,6,11,5,Sta103
2020/11/8,7,11,3,Sta103
2020/11/9,1,11,4,Sta103
2020/11/10,2,11,4,Sta103
2020/11/11,3,11,4,Sta103
2020/11/12,4,11,4,Sta103
2020/11/13,5,11,5,Sta103
2020/11/14,6,11,4,Sta103
2020/11/15,7,11,4,Sta103
2020/11/16,1,11,4,Sta103
2020/11/17,2,11,4,Sta103
2020/11/18,3,11,4,Sta103
2020/11/19,4,11,4,Sta103
2020/11/20,5,11,5,Sta103
2020/11/21,6,11,1,Sta103
2020/11/22,7,11,6,Sta103
2020/11/23,1,11,7,Sta103
2020/11/24,2,11,5,Sta103
2020/11/25,3,11,8,Sta103
2020/11/26,4,11,6,Sta103
2020/11/27,5,11,6,Sta103
2020/11/28,6,11,2,Sta103
2020/11/29,7,11,5,Sta103
2020/11/30,1,11,3,Sta103
2020/12/1,2,12,3,Sta103
2020/12/2,3,12,3,Sta103
2020/12/3,4,12,3,Sta103
2020/12/4,5,12,3,Sta103
2020/12/5,6,12,5,Sta103
2020/12/6,7,12,6,Sta103
2020/12/7,1,12,5,Sta103
2020/12/8,2,12,9,Sta103
2020/12/9,3,12,9,Sta103
2020/12/10,4,12,10,Sta103
2020/12/11,5,12,9,Sta103
2020/12/12,6,12,9,Sta103
2020/12/13,7,12,5,Sta103
2020/12/14,1,12,8,Sta103
2020/12/15,2,12,4,Sta103
2020/12/16,3,12,4,Sta103
2020/12/17,4,12,4,Sta103
2020/12/18,5,12,7,Sta103
2020/12/19,6,12,9,Sta103
2020/12/20,7,12,9,Sta103
2020/12/21,1,12,12,Sta103
2020/12/22,2,12,11,Sta103
2020/12/23,3,12,13,Sta103
2020/12/24,4,12,11,Sta103
2020/12/25,5,12,6,Sta103
2020/12/26,6,12,12,Sta103
2020/12/27,7,12,11,Sta103
2020/12/28,1,12,12,Sta103
2020/12/29,2,12,12,Sta103
2020/12/30,3,12,13,Sta103
2020/12/31,4,12,13,Sta103
2020/7/17,5,7,0,Sta104
2020/7/18,6,7,0,Sta104
2020/7/19,7,7,0,Sta104
2020/7/20,1,7,0,Sta104
2020/7/21,2,7,0,Sta104
2020/7/22,3,7,0,Sta104
2020/7/23,4,7,0,Sta104
2020/7/24,5,7,0,Sta104
2020/7/25,6,7,0,Sta104
2020/7/26,7,7,0,Sta104
2020/7/27,1,7,0,Sta104
2020/7/28,2,7,0,Sta104
2020/7/29,3,7,0,Sta104
2020/7/30,4,7,0,Sta104
2020/7/31,5,7,0,Sta104
2020/8/1,6,8,0,Sta104
2020/8/2,7,8,0,Sta104
2020/8/3,1,8,0,Sta104
2020/8/4,2,8,0,Sta104
2020/8/5,3,8,0,Sta104
2020/8/6,4,8,0,Sta104
2020/8/7,5,8,0,Sta104
2020/8/8,6,8,0,Sta104
2020/8/9,7,8,0,Sta104
2020/8/10,1,8,0,Sta104
2020/8/11,2,8,0,Sta104
2020/8/12,3,8,0,Sta104
2020/8/13,4,8,0,Sta104
2020/8/14,5,8,0,Sta104
2020/8/15,6,8,0,Sta104
2020/8/16,7,8,0,Sta104
2020/8/17,1,8,0,Sta104
2020/8/18,2,8,0,Sta104
2020/8/19,3,8,0,Sta104
2020/8/20,4,8,0,Sta104
2020/8/21,5,8,0,Sta104
2020/8/22,6,8,0,Sta104
2020/8/23,7,8,0,Sta104
2020/8/24,1,8,0,Sta104
2020/8/25,2,8,0,Sta104
2020/8/26,3,8,0,Sta104
2020/8/27,4,8,0,Sta104
2020/8/28,5,8,0,Sta104
2020/8/29,6,8,0,Sta104
2020/8/30,7,8,0,Sta104
2020/8/31,1,8,0,Sta104
2020/9/1,2,9,0,Sta104
2020/9/2,3,9,0,Sta104
2020/9/3,4,9,0,Sta104
2020/9/4,5,9,0,Sta104
2020/9/5,6,9,0,Sta104
2020/9/6,7,9,0,Sta104
2020/9/7,1,9,0,Sta104
2020/9/8,2,9,0,Sta104
2020/9/9,3,9,0,Sta104
2020/9/10,4,9,0,Sta104
2020/9/11,5,9,0,Sta104
2020/9/12,6,9,0,Sta104
2020/9/13,7,9,0,Sta104
2020/9/14,1,9,0,Sta104
2020/9/15,2,9,0,Sta104
2020/9/16,3,9,0,Sta104
2020/9/17,4,9,0,Sta104
2020/9/18,5,9,0,Sta104
2020/9/19,6,9,0,Sta104
2020/9/20,7,9,0,Sta104
2020/9/21,1,9,0,Sta104
2020/9/22,2,9,0,Sta104
2020/9/23,3,9,0,Sta104
2020/9/24,4,9,0,Sta104
2020/9/25,5,9,0,Sta104
2020/9/26,6,9,0,Sta104
2020/9/27,7,9,0,Sta104
2020/9/28,1,9,0,Sta104
2020/9/29,2,9,0,Sta104
2020/9/30,3,9,0,Sta104
2020/10/1,4,10,0,Sta104
2020/10/2,5,10,0,Sta104
2020/10/3,6,10,0,Sta104
2020/10/4,7,10,0,Sta104
2020/10/5,1,10,0,Sta104
2020/10/6,2,10,0,Sta104
2020/10/7,3,10,0,Sta104
2020/10/8,4,10,0,Sta104
2020/10/9,5,10,0,Sta104
2020/10/10,6,10,0,Sta104
2020/10/11,7,10,0,Sta104
2020/10/12,1,10,0,Sta104
2020/10/13,2,10,0,Sta104
2020/10/14,3,10,0,Sta104
2020/10/15,4,10,0,Sta104
2020/10/16,5,10,0,Sta104
2020/10/17,6,10,0,Sta104
2020/10/18,7,10,0,Sta104
2020/10/19,1,10,0,Sta104
2020/10/20,2,10,0,Sta104
2020/10/21,3,10,0,Sta104
2020/10/22,4,10,0,Sta104
2020/10/23,5,10,0,Sta104
2020/10/24,6,10,0,Sta104
2020/10/25,7,10,0,Sta104
2020/10/26,1,10,0,Sta104
2020/10/27,2,10,0,Sta104
2020/10/28,3,10,0,Sta104
2020/10/29,4,10,0,Sta104
2020/10/30,5,10,0,Sta104
2020/10/31,6,10,0,Sta104
2020/11/1,7,11,0,Sta104
2020/11/2,1,11,0,Sta104
2020/11/3,2,11,0,Sta104
2020/11/4,3,11,0,Sta104
2020/11/5,4,11,0,Sta104
2020/11/6,5,11,0,Sta104
2020/11/7,6,11,0,Sta104
2020/11/8,7,11,0,Sta104
2020/11/9,1,11,0,Sta104
2020/11/10,2,11,0,Sta104
2020/11/11,3,11,0,Sta104
2020/11/12,4,11,0,Sta104
2020/11/13,5,11,0,Sta104
2020/11/14,6,11,0,Sta104
2020/11/15,7,11,0,Sta104
2020/11/16,1,11,0,Sta104
2020/11/17,2,11,0,Sta104
2020/11/18,3,11,0,Sta104
2020/11/19,4,11,0,Sta104
2020/11/20,5,11,0,Sta104
2020/11/21,6,11,0,Sta104
2020/11/22,7,11,0,Sta104
2020/11/23,1,11,0,Sta104
2020/11/24,2,11,0,Sta104
2020/11/25,3,11,0,Sta104
2020/11/26,4,11,0,Sta104
2020/11/27,5,11,0,Sta104
2020/11/28,6,11,0,Sta104
2020/11/29,7,11,0,Sta104
2020/11/30,1,11,0,Sta104
2020/12/1,2,12,0,Sta104
2020/12/2,3,12,0,Sta104
2020/12/3,4,12,0,Sta104
2020/12/4,5,12,0,Sta104
2020/12/5,6,12,0,Sta104
2020/12/6,7,12,0,Sta104
2020/12/7,1,12,0,Sta104
2020/12/8,2,12,0,Sta104
2020/12/9,3,12,0,Sta104
2020/12/10,4,12,0,Sta104
2020/12/11,5,12,0,Sta104
2020/12/12,6,12,0,Sta104
2020/12/13,7,12,0,Sta104
2020/12/14,1,12,0,Sta104
2020/12/15,2,12,0,Sta104
2020/12/16,3,12,0,Sta104
2020/12/17,4,12,0,Sta104
2020/12/18,5,12,0,Sta104
2020/12/19,6,12,0,Sta104
2020/12/20,7,12,0,Sta104
2020/12/21,1,12,0,Sta104
2020/12/22,2,12,0,Sta104
2020/12/23,3,12,0,Sta104
2020/12/24,4,12,0,Sta104
2020/12/25,5,12,0,Sta104
2020/12/26,6,12,0,Sta104
2020/12/27,7,12,0,Sta104
2020/12/28,1,12,0,Sta104
2020/12/29,2,12,0,Sta104
2020/12/30,3,12,0,Sta104
2020/12/31,4,12,0,Sta104
2020/7/17,5,7,3,Sta105
2020/7/18,6,7,3,Sta105
2020/7/19,7,7,3,Sta105
2020/7/20,1,7,3,Sta105
2020/7/21,2,7,3,Sta105
2020/7/22,3,7,3,Sta105
2020/7/23,4,7,3,Sta105
2020/7/24,5,7,3,Sta105
2020/7/25,6,7,3,Sta105
2020/7/26,7,7,2,Sta105
2020/7/27,1,7,2,Sta105
2020/7/28,2,7,2,Sta105
2020/7/29,3,7,2,Sta105
2020/7/30,4,7,3,Sta105
2020/7/31,5,7,3,Sta105
2020/8/1,6,8,3,Sta105
2020/8/2,7,8,3,Sta105
2020/8/3,1,8,2,Sta105
2020/8/4,2,8,2,Sta105
2020/8/5,3,8,2,Sta105
2020/8/6,4,8,2,Sta105
2020/8/7,5,8,3,Sta105
2020/8/8,6,8,2,Sta105
2020/8/9,7,8,2,Sta105
2020/8/10,1,8,2,Sta105
2020/8/11,2,8,2,Sta105
2020/8/12,3,8,2,Sta105
2020/8/13,4,8,3,Sta105
2020/8/14,5,8,3,Sta105
2020/8/15,6,8,3,Sta105
2020/8/16,7,8,2,Sta105
2020/8/17,1,8,3,Sta105
2020/8/18,2,8,3,Sta105
2020/8/19,3,8,3,Sta105
2020/8/20,4,8,3,Sta105
2020/8/21,5,8,3,Sta105
2020/8/22,6,8,3,Sta105
2020/8/23,7,8,3,Sta105
2020/8/24,1,8,3,Sta105
2020/8/25,2,8,3,Sta105
2020/8/26,3,8,3,Sta105
2020/8/27,4,8,3,Sta105
2020/8/28,5,8,3,Sta105
2020/8/29,6,8,3,Sta105
2020/8/30,7,8,2,Sta105
2020/8/31,1,8,3,Sta105
2020/9/1,2,9,3,Sta105
2020/9/2,3,9,3,Sta105
2020/9/3,4,9,3,Sta105
2020/9/4,5,9,3,Sta105
2020/9/5,6,9,3,Sta105
2020/9/6,7,9,2,Sta105
2020/9/7,1,9,2,Sta105
2020/9/8,2,9,3,Sta105
2020/9/9,3,9,3,Sta105
2020/9/10,4,9,3,Sta105
2020/9/11,5,9,3,Sta105
2020/9/12,6,9,3,Sta105
2020/9/13,7,9,2,Sta105
2020/9/14,1,9,3,Sta105
2020/9/15,2,9,3,Sta105
2020/9/16,3,9,3,Sta105
2020/9/17,4,9,3,Sta105
2020/9/18,5,9,3,Sta105
2020/9/19,6,9,3,Sta105
2020/9/20,7,9,2,Sta105
2020/9/21,1,9,3,Sta105
2020/9/22,2,9,3,Sta105
2020/9/23,3,9,3,Sta105
2020/9/24,4,9,3,Sta105
2020/9/25,5,9,3,Sta105
2020/9/26,6,9,3,Sta105
2020/9/27,7,9,2,Sta105
2020/9/28,1,9,3,Sta105
2020/9/29,2,9,3,Sta105
2020/9/30,3,9,3,Sta105
2020/10/1,4,10,3,Sta105
2020/10/2,5,10,3,Sta105
2020/10/3,6,10,3,Sta105
2020/10/4,7,10,2,Sta105
2020/10/5,1,10,3,Sta105
2020/10/6,2,10,3,Sta105
2020/10/7,3,10,3,Sta105
2020/10/8,4,10,3,Sta105
2020/10/9,5,10,3,Sta105
2020/10/10,6,10,3,Sta105
2020/10/11,7,10,2,Sta105
2020/10/12,1,10,3,Sta105
2020/10/13,2,10,3,Sta105
2020/10/14,3,10,3,Sta105
2020/10/15,4,10,3,Sta105
2020/10/16,5,10,3,Sta105
2020/10/17,6,10,3,Sta105
2020/10/18,7,10,2,Sta105
2020/10/19,1,10,3,Sta105
2020/10/20,2,10,3,Sta105
2020/10/21,3,10,2,Sta105
2020/10/22,4,10,3,Sta105
2020/10/23,5,10,3,Sta105
2020/10/24,6,10,3,Sta105
2020/10/25,7,10,2,Sta105
2020/10/26,1,10,3,Sta105
2020/10/27,2,10,3,Sta105
2020/10/28,3,10,3,Sta105
2020/10/29,4,10,3,Sta105
2020/10/30,5,10,3,Sta105
2020/10/31,6,10,3,Sta105
2020/11/1,7,11,2,Sta105
2020/11/2,1,11,3,Sta105
